OCR2A,kHz,Timer 1 Ticks (Average/Valid Reads),Valid Reads,Samples,Distance from Target
200,40.0,171.02,64,64,94.3
199,40.2,169.06,64,64,94.3
198,40.4,169.17,64,64,94.3
197,40.6,169.23,64,64,94.3
196,40.8,168.25,64,64,94.3
195,41.0,167.36,64,64,94.3
194,41.2,167.31,64,64,94.3
193,41.5,167.09,64,64,94.3
192,41.7,165.61,64,64,94.3
191,41.9,165.31,64,64,94.3
190,42.1,165.28,64,64,94.3
189,42.3,164.30,64,64,94.3
188,42.6,163.61,64,64,94.3
187,42.8,162.88,64,64,94.3
186,43.0,163.17,64,64,94.3
185,43.2,161.70,64,64,94.3
184,43.5,161.64,64,64,94.3
183,43.7,161.44,64,64,94.3
182,44.0,161.03,64,64,94.3
181,44.2,160.33,64,64,94.3
180,44.4,159.42,64,64,94.3
179,44.7,159.48,64,64,94.3
178,44.9,157.66,64,64,94.3
177,45.2,157.91,64,64,94.3
176,45.5,157.47,64,64,94.3
175,45.7,157.13,64,64,94.3
174,46.0,155.84,64,64,94.3
173,46.2,155.84,64,64,94.3
172,46.5,155.42,64,64,94.3
171,46.8,154.63,64,64,94.3
170,47.1,152.89,64,64,94.3
169,47.3,150.66,64,64,94.3
168,47.6,150.92,64,64,94.3
167,47.9,146.11,64,64,94.3
166,48.2,142.33,64,64,94.3
165,48.5,140.63,64,64,94.3
164,48.8,136.13,64,64,94.3
163,49.1,127.15,34,64,94.3
162,49.4,84.00,15,64,94.3
161,49.7,81.87,61,64,94.3
160,50.0,79.93,58,64,94.3
159,50.3,80.80,56,64,94.3
158,50.6,78.38,53,64,94.3
157,51.0,78.60,50,64,94.3
156,51.3,79.77,48,64,94.3
155,51.6,80.57,49,64,94.3
154,51.9,81.57,35,64,94.3
153,52.3,80.42,43,64,94.3
152,52.6,80.29,28,64,94.3
151,53.0,78.32,40,64,94.3
150,53.3,85.21,39,64,94.3
149,53.7,81.10,40,64,94.3
148,54.1,78.04,49,64,94.3
147,54.4,80.71,28,64,94.3
146,54.8,140.83,54,64,94.3
145,55.2,141.03,64,64,94.3
144,55.6,106.55,58,64,94.3
143,55.9,76.16,25,64,94.3
142,56.3,95.40,45,64,94.3
141,56.7,63.50,22,64,94.3
140,57.1,63.60,15,64,94.3
